NAME,LON,LAT,BASE,CITY,STATE,STATE_ABBR
Langley Research Center,-76.3872424,37.0958904,,Hampton,VIRGINIA,VA
Ames Research Center ,-122.0594744,37.4149705,Moffett Field,,CALIFORNIA,CA
Glenn Research Center,-84.0639031,39.7795125,,Brook Park,OHIO,OH
Armstrong Flight Research Center,-117.8833076,34.9539834,Edwards Air Force Base,,CALIFORNIA,CA
Jet Propulsion Laboratory,-118.1729785,34.2015125,,La Cañada Flintridge,CALIFORNIA,CA
Marshall Space Flight Center,-86.6714816,34.6492808,Redstone Arsenal,Huntsville,ALABAMA,AL
Goddard Space Flight Center,-76.8458613,38.9998313,,Greenbelt,MARYLAND,MD
Stennis Space Center,-89.5978312,30.3776388,,Hancock County,MISSIPPI,MS
Johnson Space Center,-82.3711649,36.3054599,,Houston,TEXAS,TX
Kennedy Space Center,-80.6818558,28.5242796,,Cape Canaveral,FLORIDA,FL
