PROGRAM,VEHICLE,MISSION_FLTno,CREW,LAUNCH_YEAR,DURATION_HMS
PRE-SHUTTLE SPACE FLIGHT,MERCURY-REDSTONE,Mercury 3,Alan Shepard,1961,0:15:28
PRE-SHUTTLE SPACE FLIGHT,MERCURY-REDSTONE,Mercury 4,Virgil Grissom,1961,0:15:37
PRE-SHUTTLE SPACE FLIGHT,MERCURY-REDSTONE,Mercury 6,John Glenn,1962,4:55:23
PRE-SHUTTLE SPACE FLIGHT,MERCURY-REDSTONE,Mercury 7,Scott Carpenter,1962,4:56:05
PRE-SHUTTLE SPACE FLIGHT,MERCURY-REDSTONE,Mercury 8,Walter Schirra,1962,9:13:11
PRE-SHUTTLE SPACE FLIGHT,MERCURY-REDSTONE,Mercury 9,Gordon Cooper,1963,34:19:49
PRE-SHUTTLE SPACE FLIGHT,GEMINI-TITAN,Gemini III,Virgil Grissom John Young,1965,4:52:31
PRE-SHUTTLE SPACE FLIGHT,GEMINI-TITAN,Gemini IV,James McDivitt Edward White,1965,97:56:12
PRE-SHUTTLE SPACE FLIGHT,GEMINI-TITAN,Gemini V,L. Gordon Cooper Charles Conrad,1965,190:55:14
PRE-SHUTTLE SPACE FLIGHT,GEMINI-TITAN,Gemini VII,Frank Borman James Lovell,1965,330:35:01
PRE-SHUTTLE SPACE FLIGHT,GEMINI-TITAN,Gemini VI-A,Walter Schirra Thomas Stafford,1965,25:51:24
PRE-SHUTTLE SPACE FLIGHT,GEMINI-TITAN,Gemini VIII,Neil Armstrong David Scott,1966,10:41:26
PRE-SHUTTLE SPACE FLIGHT,GEMINI-TITAN,Gemini IX-A,Thomas Stafford Eugene Cernan,1966,72:20:50
PRE-SHUTTLE SPACE FLIGHT,GEMINI-TITAN,Gemini X,John Young Michael Collins,1966,70:46:39
PRE-SHUTTLE SPACE FLIGHT,GEMINI-TITAN,Gemini XI,Charles Conrad Richard Gordon,1966,71:17:08
PRE-SHUTTLE SPACE FLIGHT,GEMINI-TITAN,Gemini XII,James Lovell Buzz Aldrin,1966,94:34:31
PRE-SHUTTLE SPACE FLIGHT,APOLLO-SATURN,Apollo 7,Walter Schirra Donn Eisele Walter Cunningham,1968,260:09:03
PRE-SHUTTLE SPACE FLIGHT,APOLLO-SATURN,Apollo 8,Frank Borman James Lovell William Anders,1968,147:00:42
PRE-SHUTTLE SPACE FLIGHT,APOLLO-SATURN,Apollo 9,"James McDivitt David Scott
 Rusty Schweickart",1969,241:00:54
PRE-SHUTTLE SPACE FLIGHT,APOLLO-SATURN,Apollo 10,Thomas Stafford John Young Eugene Cernan,1969,192:23:23
PRE-SHUTTLE SPACE FLIGHT,APOLLO-SATURN,Apollo 11,Neil Armstrong Michael Collins Buzz Aldrin,1969,195:18:35
PRE-SHUTTLE SPACE FLIGHT,APOLLO-SATURN,Apollo 12,Charles Conrad Richard Gordon Al Bean,1969,244:36:24
PRE-SHUTTLE SPACE FLIGHT,APOLLO-SATURN,Apollo 13,James Lovell John Swigert Fred Haise,1970,142:54:41
PRE-SHUTTLE SPACE FLIGHT,APOLLO-SATURN,Apollo 14,Al Shepard Stuart Roosa Edgar Mitchell,1971,216:01:58
PRE-SHUTTLE SPACE FLIGHT,APOLLO-SATURN,Apollo 15,David Scott Al Worden James Irwin,1971,305:11:53
PRE-SHUTTLE SPACE FLIGHT,APOLLO-SATURN,Apollo 16,John Young Ken Mattingly Charlie Duke,1972,265:51:05
PRE-SHUTTLE SPACE FLIGHT,APOLLO-SATURN,Apollo 17,"Eugene Cernan
 Ronald Evans Harrison Schmitt",1972,301:51:59
PRE-SHUTTLE SPACE FLIGHT,SKYLAB,Skylab SL-2,Charles Conrad Joseph Kerwin Paul Weitz,1973,672:49:49
PRE-SHUTTLE SPACE FLIGHT,SKYLAB,Skylab SL-3,Al Bean Owen Garriott Jack Lousma,1973,1427:09:04
PRE-SHUTTLE SPACE FLIGHT,SKYLAB,Skylab SL-4,Gerald Carr Edward Gibson William Pogue,1974,2017:16:00
PRE-SHUTTLE SPACE FLIGHT,APOLLO-SOYUZ,TEST PROJECT (ASTP),"Thomas Stafford Vance Brand
 Donald Slayton",1975,223:28:00
